RegCode,MsCode,IncCode,Estimate,RSE,LowerCIB,UpperCIB
R001,M001,I001,108908,6.5,101857,115959
R001,M002,I001,83361,9.8,75208,91514
R001,M003,I001,4.8,8.9,-4,13.7
R001,M004,I001,3.9,15.4,-11.5,19.3
R002,M001,I001,160687,2.3,157022,164352
R002,M002,I001,130595,3.3,126228,134962
R002,M003,I001,5.2,3.7,1.5,8.9
R002,M004,I001,7.4,5.9,1.5,13.3
R003,M001,I001,129856,4.4,124091,135622
R003,M002,I001,109252,5.2,103569,114936
R003,M003,I001,8.2,7.5,0.7,15.7
R003,M004,I001,20.3,9.6,10.7,29.9
R004,M001,I001,120138,4.9,114235,126041
R004,M002,I001,94950,7.9,87409,102490
R004,M003,I001,-3,7.2,-10.2,4.2
R004,M004,I001,2.5,10.7,-8.2,13.2
R005,M001,I001,132407,7.8,122128,142687
R005,M002,I001,95823,9.2,87027,104619
R005,M003,I001,7.4,12.5,-5.1,19.9
R005,M004,I001,-0.1,13.3,-13.4,13.3
R006,M001,I001,121449,8,111778,131120
R006,M002,I001,93265,8.1,85721,100810
R006,M003,I001,3.2,10.8,-7.5,14
R006,M004,I001,-0.3,11.5,-11.7,11.2
R007,M001,I001,112836,5.8,106253,119420
R007,M002,I001,88544,10.9,78930,98157
R007,M003,I001,9.8,8.3,1.5,18.1
R007,M004,I001,4.4,13.5,-9.1,17.9
R008,M001,I001,153711,5,146011,161412
R008,M002,I001,125204,5.5,118355,132054
R008,M003,I001,1.8,6.9,-5.1,8.7
R008,M004,I001,4.5,7.2,-2.7,11.7
R009,M001,I001,121975,8.5,111625,132326
R009,M002,I001,94754,8.6,86646,102861
R009,M003,I001,5.4,11.6,-6.1,17
R009,M004,I001,12.1,13.5,-1.4,25.7
R010,M001,I001,136245,4.2,130467,142023
R010,M002,I001,104847,5.1,99526,110168
R010,M003,I001,9.1,6.8,2.3,15.9
R010,M004,I001,4.8,7,-2.2,11.9
R011,M001,I001,123068,6.5,115095,131041
R011,M002,I001,94286,9.9,84912,103659
R011,M003,I001,-0.7,9.1,-9.8,8.4
R011,M004,I001,-3.7,12.7,-16.3,9
R012,M001,I001,101282,7.1,94086,108478
R012,M002,I001,83019,11,73871,92168
R012,M003,I001,-4,10.4,-14.3,6.4
R012,M004,I001,-2.7,16.4,-19.1,13.7
R013,M001,I001,139111,1.2,137374,140848
R013,M002,I001,109556,1.5,107900,111211
R013,M003,I001,4.9,1.9,3,6.8
R013,M004,I001,5.8,2.2,3.6,8
R001,M001,I002,87571,5.6,82657,92484
R001,M002,I002,73274,8.1,67331,79217
R001,M003,I002,4.3,7.6,-3.2,11.9
R001,M004,I002,5.7,12.6,-7,18.3
R002,M001,I002,123365,2,120934,125796
R002,M002,I002,104618,3,101513,107722
R002,M003,I002,5.3,3.2,2.1,8.5
R002,M004,I002,7.1,5.3,1.8,12.4
R003,M001,I002,102320,3.8,98464,106177
R003,M002,I002,88987,5,84508,93466
R003,M003,I002,8.7,6.3,2.4,15
R003,M004,I002,17.8,8.7,9.1,26.5
R004,M001,I002,95736,4.3,91663,99809
R004,M002,I002,79650,6.7,74329,84971
R004,M003,I002,-1.8,6.2,-8,4.4
R004,M004,I002,1.3,9.3,-7.9,10.6
R005,M001,I002,104577,6.9,97348,111807
R005,M002,I002,80812,7.6,74707,86917
R005,M003,I002,7.4,10.7,-3.3,18.1
R005,M004,I002,-1.8,11.7,-13.5,10
R006,M001,I002,95720,6.5,89466,101973
R006,M002,I002,79054,8.7,72178,85930
R006,M003,I002,3.9,9.1,-5.3,13
